ENG20-00001740-n	
ENG20-00002645-n	
ENG20-00003226-n	زیندەوەر;ئۆرگانیزم;بوونی زیندوو(وەکوو ئاژەڵ و گیا);
ENG20-00004609-n	ژیان;
ENG20-00004824-n	چاوە;خانه;پیل;شانە;سلوول;
ENG20-00005598-n	
ENG20-00006026-n	
ENG20-00007638-v	
ENG20-00008853-v	
ENG20-00009760-v	
ENG20-00009947-v	
ENG20-00010141-v	
ENG20-00011955-v	دروست کردن;وەبەرهێنان;ئەنجام دان;ئامادەکردن;
ENG20-00012301-v	سەهۆڵ بەستن;وەستاندن;وەستان;جێگیرکردن;قەپات کردن;
ENG20-00012748-n	
ENG20-00013721-v	ڕاوەشاندن;هەژاندن;لەراندنەوە;لەرینەوە;هەلاجان;لەرزین;تەوقە کردن;
ENG20-00013888-v	لەرزین;هەڵلەرزین;
ENG20-00014092-v	پشوودان;پشوو;ماوە;ئەوەی ماوە;خستنەسەر;
ENG20-00014236-v	
ENG20-00014429-v	نوستن;خەوتن;خەو;
ENG20-00014510-n	
ENG20-00016236-n	بەرکار;تەن;
ENG20-00017087-n	
ENG20-00017572-n	
ENG20-00018221-v	
ENG20-00018827-n	خواردەمەنی;چێشت;خۆراک;چەرە;واردە;شێو;
ENG20-00019146-v	کارتێ کردن;هەست جوڵاندن;
ENG20-00019244-n	
ENG20-00020136-n	وتار;بەندی یاسا;نوسراو;
ENG20-00020333-n	
ENG20-00020486-n	
ENG20-00020729-n	
ENG20-00021213-n	
ENG20-00022265-v	
ENG20-00022625-n	شوێن;
ENG20-00023103-n	
ENG20-00023548-n	کات;
ENG20-00024568-n	پارێزگا;دەوڵەت;وڵات;بار;دۆخ;وتن;دەربڕین;دەرخستن;
ENG20-00024764-v	دەمی فرمان;
ENG20-00025848-v	
ENG20-00025950-n	ڕووداو;بەسەرهات;
ENG20-00026194-n	هەڵس وکەوت;کردار;کردەوە;
ENG20-00026695-v	
ENG20-00026769-n	
ENG20-00027371-n	
ENG20-00027563-n	دیاردە;دیارخەر;دیارکەر;تایبەتمەندی;دانستە;پێناسەی چۆنیەتی;
ENG20-00027929-n	پەیوەندی;
ENG20-00028549-n	
ENG20-00028764-n	ئاڵوگۆڕکردن;گەیاندن;
ENG20-00029881-n	
ENG20-00030147-n	شت;
ENG20-00030242-n	
ENG20-00030589-n	
ENG20-00030639-v	پێکەنین;
ENG20-00031905-n	
ENG20-00032382-v	ڕوانین;سەیرکردن;چاولێکردن;تواشاکردن;لێگەڕان;وادەرکەوتن;ڕوخسار;بیچم;سیما;قەڵافەت;دیمەن;
ENG20-00032816-n	کردار;کردەوە;کار;
ENG20-00033574-n	خول;ئاراستە;ئاست;ژەم;بوار;شوێنی یاری گۆڵف;کۆرس;
ENG20-00034333-n	
ENG20-00034523-v	
ENG20-00034591-n	پەیوەندی;
ENG20-00035127-v	شۆردن;شوشتن;ڕاماڵین;
ENG20-00036630-n	یاری کردن;گەمە کردن;ژەنین;لێدان;یاری;گەمە;شانۆگەری;ڕابواردن;
ENG20-00037061-n	
ENG20-00037473-n	
ENG20-00037919-n	ڕۆیشتن;دەرچوون;کۆچ;
ENG20-00038353-n	
ENG20-00038749-n	
ENG20-00039042-n	لێدان;زەبر;سەرکەوتن;پێکان;سەرکەوتوو;فیلم یا ئاهەنگی زۆر سەرکەوتوو;
ENG20-00039108-v	زاوا;
ENG20-00039290-n	
ENG20-00039683-v	
ENG20-00040371-n	
ENG20-00041028-n	
ENG20-00041298-n	
ENG20-00041454-n	
ENG20-00041632-n	ساوان;دەست لێدان;دەست ساوین;دەست پێداهێنان;دەست ڕێخستن;تلانن;لێک کەوتن;لێک سوون;بەرکەوتن;
ENG20-00043335-n	
ENG20-00043484-n	هاتن;هاتوو;گەیشتن;گەیشتوو;
ENG20-00043938-n	
ENG20-00044113-n	
ENG20-00044299-v	
ENG20-00044633-v	دەسکەوت;سوود;کەڵک;
ENG20-00045016-v	
ENG20-00045146-n	تۆمارکردن;
ENG20-00045799-v	
ENG20-00046282-n	
ENG20-00048177-n	
ENG20-00048895-v	
ENG20-00050755-v	
ENG20-00050879-n	
ENG20-00051366-v	
ENG20-00053313-n	دەرچە;ڕێگەی چوونەدەرەوە;
ENG20-00053313-v	
ENG20-00053537-n	
ENG20-00055053-v	
ENG20-00055949-n	ناردن;ڕەوانەکردن;
ENG20-00057447-n	
ENG20-00057655-n	تۆمارکردن;
ENG20-00058293-n	سەرکەوتن;دەرچوون;
ENG20-00058807-v	
ENG20-00059106-n	
ENG20-00059569-v	
ENG20-00060780-n	
ENG20-00061200-n	سەرنەکەوتن;شکست;
ENG20-00061264-v	
ENG20-00062014-v	
ENG20-00062029-n	زیان;خەسار;زەرەر;
ENG20-00062171-n	
ENG20-00062508-v	برین;بریندار;زام;زامدار;
ENG20-00062736-v	
ENG20-00062917-v	
ENG20-00063217-v	هەیەتی;
ENG20-00063342-v	
ENG20-00063486-v	
ENG20-00063854-v	
ENG20-00064020-v	
ENG20-00064806-v	ئەسرین;فرمێسک;
ENG20-00065349-n	
ENG20-00066405-n	
ENG20-00067690-v	
ENG20-00068407-n	
ENG20-00068673-n	هەڵەی زل;
ENG20-00069649-v	ڕاکێشان;کێشان;هەڵپەلیانی دەمار;زەرپ پێگەێشتن به ماسولکە;بریندار بوون;
ENG20-00072350-v	
ENG20-00072813-v	
ENG20-00075821-v	سەهۆڵ بەستن;وەستاندن;وەستان;جێگیرکردن;قەپات کردن;
ENG20-00077160-n	
ENG20-00078744-v	کاردەگێرێ;بەڕێوەبردن;
ENG20-00081427-v	
ENG20-00082718-n	
ENG20-00083620-n	
ENG20-00085000-v	
ENG20-00086816-v	پاقژ دەکا;
ENG20-00086821-n	
ENG20-00089731-v	
ENG20-00090110-v	
ENG20-00090828-n	
ENG20-00091357-n	
ENG20-00096548-n	
ENG20-00096978-v	ڕاهێنان;وەرزش کردن;
ENG20-00097112-n	خلیان;خلیانەوە;خلۆربوونەوە;گلان;گلیان;تۆپ;لیست;پێڕست;خل کردنەوە;خل بوونەوە;جاڵەبوون;
ENG20-00100542-v	
ENG20-00100844-v	ڕەنگ زەرد;زەرد هەڵگەڕاو;
ENG20-00102093-v	
ENG20-00104050-v	
ENG20-00104589-n	پاڵ پێوەنان;داگرتن;گوشار;زەخت;دەستنان;خستنەسەر;
ENG20-00106479-v	گۆڕان;گۆڕین;
ENG20-00106726-n	ڕاکێشان;کێشان;هەڵپەلیانی دەمار;زەرپ پێگەێشتن به ماسولکە;بریندار بوون;
ENG20-00108671-n	بەرزکردنەوە;هەڵهێنان;
ENG20-00112008-n	پاز دەدات;هەڵبەزین;
ENG20-00113506-v	
ENG20-00115095-n	
ENG20-00115695-v	
ENG20-00118002-n	لێدان;زەبر;سەرکەوتن;پێکان;سەرکەوتوو;فیلم یا ئاهەنگی زۆر سەرکەوتوو;
ENG20-00118358-v	
ENG20-00119659-n	
ENG20-00121430-v	
ENG20-00128104-n	تێهەڵدان;شەق;
ENG20-00129996-n	ماچ;ماچ کردن;
ENG20-00130732-n	
ENG20-00132263-v	
ENG20-00133306-a	دوایی;
ENG20-00133458-v	
ENG20-00133506-n	پشکنین;
ENG20-00134347-n	
ENG20-00134791-n	
ENG20-00135037-v	
ENG20-00135866-v	
ENG20-00137090-v	
ENG20-00138229-v	نیگارکێشان;یەکسانبوون;ڕاکێشان;دەرهێنان;
ENG20-00138787-v	
ENG20-00140715-v	
ENG20-00144029-v	
ENG20-00147655-v	زۆربوون;زۆرکردن;زیادکردن;گەشە;
ENG20-00148171-n	کارتێکردن;کارلێکردن;کاریگەری;
ENG20-00149343-v	
ENG20-00150804-v	زۆربوون;زۆرکردن;زیادکردن;گەشە;
ENG20-00152253-n	
ENG20-00152358-v	
ENG20-00152639-v	بەرزکردنەوە;هەڵهێنان;زیادکردن;بەخێوکردن;
ENG20-00152940-v	
ENG20-00153642-n	
ENG20-00154398-n	
ENG20-00154767-n	ژووان;
ENG20-00155250-v	
ENG20-00156695-v	لەبریدانان;گۆڕین;
ENG20-00156909-n	جووڵەکردن;گواستنەوە;جووڵاندن;جووڵە;
ENG20-00158985-n	
ENG20-00159406-n	جووڵەکردن;گواستنەوە;جووڵاندن;جووڵە;
ENG20-00162952-n	
ENG20-00162972-v	گۆڕان;گۆڕین;
ENG20-00163165-v	
ENG20-00163320-v	گۆڕین;گۆڕانکاری;
ENG20-00166870-v	
ENG20-00170871-n	هەڵبژاردن;
ENG20-00171248-v	
ENG20-00171395-v	خاوێن کردنەوە;سڕینەوە;پاک کردنەوە;خاوێن;پاقژ;پاک;
ENG20-00171718-v	هەڵبژاردن;هەڵگرتن;هەڵگرتنەوە;
ENG20-00171851-v	سایی;ساماڵ;ساف;پاککردنەوە;
ENG20-00172086-n	دەنگ;دەنگدان;
ENG20-00172927-v	
ENG20-00173378-n	
ENG20-00174453-v	
ENG20-00175280-v	
ENG20-00176022-v	زۆرکردن;
ENG20-00177721-v	گرتنەوە;خستنەناو;لەخۆگربوون;بریتی بوون;ژماردن;
ENG20-00177959-v	تێکەڵ کردن;تێکەڵ بوون;تێکەڵاوی;
ENG20-00180570-n	گۆڕان;گۆڕین;
ENG20-00182005-n	
ENG20-00183522-v	
ENG20-00185398-v	
ENG20-00186839-v	
ENG20-00187833-n	
ENG20-00187887-v	
ENG20-00188265-v	
ENG20-00188512-n	
ENG20-00189089-n	
ENG20-00189569-v	سووتان;سووتاندن;
ENG20-00190422-n	
ENG20-00190778-v	
ENG20-00191493-n	
ENG20-00192025-n	کاردانەوه;
ENG20-00192551-n	
ENG20-00192682-v	
ENG20-00196646-v	
ENG20-00197171-v	
ENG20-00197826-v	
ENG20-00198579-v	
ENG20-00199187-n	
ENG20-00200697-v	
ENG20-00200852-v	
ENG20-00205023-v	پاراستن;هێشتنەوە;
ENG20-00205335-n	
ENG20-00205950-n	وێرانکردن;
ENG20-00206385-v	توانین;لەتوانابوون;قتوو;قدوولکەی تەنەکە;پیاڵە;
ENG20-00207542-v	تەڕ;شێدار;تەڕ دەکات;
ENG20-00207854-n	
ENG20-00209353-n	
ENG20-00209719-v	لافاو;توندئاو;شیپ;ئاوڕابوون;
ENG20-00210861-v	
ENG20-00211006-v	وشک;بێئاو;
ENG20-00211934-v	وشک;بێئاو;
ENG20-00213400-v	
ENG20-00217329-v	لاواز دەبێ;
ENG20-00218105-n	کاڵبوونەوە;سیسبونەوە;لەچاوونبوون;دەچڵێتەوە;
ENG20-00218994-v	
ENG20-00219482-n	
ENG20-00220301-n	سڕینەوه;لاوەنانەوه;
ENG20-00222686-n	
ENG20-00223119-v	گەشە;گەشەکردن;
ENG20-00223229-n	
ENG20-00224068-v	گەشە;گەشەکردن;
ENG20-00224871-n	
ENG20-00225754-v	
ENG20-00227126-v	
ENG20-00227757-v	
ENG20-00229195-v	
ENG20-00229455-v	
ENG20-00230051-v	
ENG20-00231734-n	
ENG20-00232691-v	
ENG20-00233158-v	
ENG20-00233791-v	
ENG20-00234910-a	
ENG20-00235800-v	
ENG20-00236806-n	چاکسازی;باشی;چاکی;
ENG20-00236959-v	
ENG20-00238088-n	پەرەپێدان;
ENG20-00238842-n	
ENG20-00240336-v	
ENG20-00241500-v	
ENG20-00241829-v	
ENG20-00242712-v	پەرەسەندن;گەشەکردن;
ENG20-00243643-v	پەرەپێدان;گەشەپێدان;داهێنان;ئاواکردنەوە;بەربڵاوکردن;گەشەکردن;گەشەسەندن;پەرەسەندن;شوتنەوەی فیلم;
ENG20-00246695-n	ڕاستکردنەوە;
ENG20-00248093-v	پەنەمان;ماسین;هەڵمسان;ئاوسان;باکردن;بەرزبوونەوە;شەپۆل;
ENG20-00248409-n	چاکسازی;چاک کردن;باش کردن;باشتر کردن;پێداچوونەوە;
ENG20-00248837-v	پەرە پێدان;بەربڵاو کردن;پان کردنەوە;بڵاو کردنەوە;ڕاخستن;
ENG20-00250018-n	نەخشسازی;ڕازاندنەوە;
ENG20-00250328-v	زەرەرلێدان;تێکشاندن;شکاندن;
ENG20-00250512-n	
ENG20-00251962-v	
ENG20-00253943-v	پینەکردن;چاککردن;
ENG20-00254280-n	
ENG20-00255208-v	هەڵئاوسان;فووتێکردن;هەواتێکردن;ماسین;هەڵامسان;پەنەمان;
ENG20-00258736-n	سوکایەتی;بێ ڕێزکردن;لێک هەڵوەشان (جیۆلۆجی);
ENG20-00260186-n	
ENG20-00261645-v	
ENG20-00263055-v	
ENG20-00264092-n	
ENG20-00264459-n	
ENG20-00264554-v	
ENG20-00266616-v	
ENG20-00266852-v	ڕێک و پێک;تەکووز;
ENG20-00267077-v	دروست کردن;وەبەرهێنان;ئەنجام دان;ئامادەکردن;
ENG20-00267223-v	
ENG20-00267271-n	
ENG20-00267382-v	
ENG20-00268653-v	ڕێکوپێکی;سازاوی;دووزەنه;ڕیز;ڕاسپاردن;بڕیار;دەستوور;حوکم;
ENG20-00269457-n	
ENG20-00270493-n	
